<Eugénie-3301>_1,<le père-2169>_2,<monsieur Grandet-943>_3,<Grandet au Tribunal de Première Instance-2317>_4,<Eugénie-1205>_5,<Eugénie et sa mère-1499>_6,<Eugénie-1353>_7,<un homme-191>_8,<l'-2932>_9
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Il-1350>,<un homme-191>,<la mère-2935>
<lui-3310>,<le père-2169>,<monsieur Grandet-943>,<Charles-2316>,<lui-1215>,<Grandet-1486>,<Nanon-1356>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<le père-2169>,<monsieur Grandet-943>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<le notaire-948>,<Charles-2316>,<Eugénie-1205>,<Grandet-1486>,<Il-1350>,<les petits propriétaires-193>,<l'-2932>
<Cornoiller-3306>,<le père-2169>,<le président-949>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<lui-2132>,<Charles-920>,<Charles-2316>,<ce type d' enfants fortement constitués-1216>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Cornoiller-3306>,<lui-2132>,<les-950>,<Charles-2316>,<enfants fortement constitués-1217>,<Grandet-1486>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<le facteur de poste-3308>,<lui-2132>,<Charles-920>,<Grandet au Tribunal de Première Instance-2317>,<ce type d' enfants fortement constitués-1216>,<Charles-1473>,<Il-1350>,<un homme-191>,<l'-2932>
<le facteur de poste-3308>,<lui-2132>,<les-950>,<Charles-2316>,<la petite bourgeoisie-1218>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<Charles-920>,<Charles-2316>,<ce type d' enfants fortement constitués-1216>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<le père-2169>,<Charles-920>,<un honnête homme-2327>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<Eugénie-3301>,<lui-2132>,<les-950>,<un honnête homme-2327>,<Vénus de Milo-1219>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<les petits propriétaires-193>,<la mère-2935>
<Eugénie-3301>,<le père-2169>,<Charles-920>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Eugénie-1353>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<Dieu-2173>,<les-950>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Eugénie et sa mère-1499>,<Il-1350>,<un homme-191>,<l'-2932>
<lui-3310>,<lui-2132>,<Charles-920>,<Grandet au Tribunal de Première Instance-2317>,<Eugénie-1205>,<Grandet-1486>,<Il-1350>,<un homme-191>,<la mère-2935>
<Eugénie-3301>,<le père-2169>,<madame des Grassins-947>,<Charles-2316>,<ce type d' enfants fortement constitués-1216>,<Grandet-1486>,<Il-1350>,<un homme-191>,<l'-2932>
